"attendance_id";"employee_id";"date";"in_time";"out_time"
1;1;"2025-11-01";"2025-11-01 09:18:00";"2025-11-01 18:02:00"
2;1;"2025-11-02";"2025-11-02 09:12:00";"2025-11-02 17:54:00"
3;2;"2025-11-01";"2025-11-01 09:58:00";"2025-11-01 18:35:00"
4;3;"2025-11-01";"2025-11-01 08:47:00";"2025-11-01 17:40:00"
5;4;"2025-11-01";"2025-11-01 09:10:00";"2025-11-01 18:00:00"
6;5;"2025-11-02";"2025-11-02 09:20:00";"2025-11-02 18:05:00"
7;6;"2025-11-02";"2025-11-02 10:00:00";"2025-11-02 18:30:00"
8;7;"2025-11-03";"2025-11-03 09:45:00";"2025-11-03 18:15:00"
9;8;"2025-11-03";"2025-11-03 08:59:00";"2025-11-03 17:50:00"
10;9;"2025-11-03";"2025-11-03 09:25:00";"2025-11-03 18:12:00"
11;10;"2025-11-04";"2025-11-04 09:35:00";"2025-11-04 17:55:00"
12;11;"2025-11-04";"2025-11-04 09:15:00";"2025-11-04 18:00:00"
13;12;"2025-11-04";"2025-11-04 08:50:00";"2025-11-04 17:40:00"
14;13;"2025-11-05";"2025-11-05 10:05:00";"2025-11-05 18:45:00"
15;14;"2025-11-05";"2025-11-05 09:40:00";"2025-11-05 17:55:00"
16;15;"2025-11-05";"2025-11-05 09:18:00";"2025-11-05 18:20:00"
17;16;"2025-11-06";"2025-11-06 09:22:00";"2025-11-06 18:12:00"
18;17;"2025-11-06";"2025-11-06 09:10:00";"2025-11-06 17:45:00"
19;18;"2025-11-06";"2025-11-06 09:30:00";"2025-11-06 17:55:00"
20;19;"2025-11-07";"2025-11-07 09:12:00";"2025-11-07 18:10:00"
21;20;"2025-11-07";"2025-11-07 09:55:00";"2025-11-07 18:30:00"
22;21;"2025-11-07";"2025-11-07 08:48:00";"2025-11-07 17:25:00"
23;22;"2025-11-08";"2025-11-08 10:05:00";"2025-11-08 18:40:00"
24;23;"2025-11-08";"2025-11-08 09:18:00";"2025-11-08 18:02:00"
25;24;"2025-11-08";"2025-11-08 09:33:00";"2025-11-08 17:58:00"
26;25;"2025-11-09";"2025-11-09 09:50:00";"2025-11-09 18:20:00"
27;26;"2025-11-09";"2025-11-09 09:22:00";"2025-11-09 18:00:00"
28;27;"2025-11-09";"2025-11-09 09:10:00";"2025-11-09 17:45:00"
29;28;"2025-11-10";"2025-11-10 09:40:00";"2025-11-10 18:30:00"
30;29;"2025-11-10";"2025-11-10 09:52:00";"2025-11-10 18:22:00"
31;30;"2025-11-10";"2025-11-10 08:58:00";"2025-11-10 17:55:00"
32;31;"2025-11-11";"2025-11-11 09:18:00";"2025-11-11 18:02:00"
33;32;"2025-11-11";"2025-11-11 09:42:00";"2025-11-11 17:55:00"
34;33;"2025-11-11";"2025-11-11 09:05:00";"2025-11-11 18:12:00"
35;34;"2025-11-12";"2025-11-12 09:28:00";"2025-11-12 18:10:00"
36;35;"2025-11-12";"2025-11-12 09:15:00";"2025-11-12 17:45:00"
37;36;"2025-11-12";"2025-11-12 09:10:00";"2025-11-12 18:20:00"
38;37;"2025-11-13";"2025-11-13 09:45:00";"2025-11-13 18:25:00"
39;38;"2025-11-13";"2025-11-13 08:55:00";"2025-11-13 17:50:00"
40;39;"2025-11-13";"2025-11-13 09:18:00";"2025-11-13 18:10:00"
41;40;"2025-11-14";"2025-11-14 09:35:00";"2025-11-14 17:55:00"
42;41;"2025-11-14";"2025-11-14 09:20:00";"2025-11-14 18:12:00"
43;42;"2025-11-14";"2025-11-14 09:08:00";"2025-11-14 17:40:00"
44;43;"2025-11-15";"2025-11-15 10:10:00";"2025-11-15 18:30:00"
45;44;"2025-11-15";"2025-11-15 09:40:00";"2025-11-15 17:55:00"
46;45;"2025-11-15";"2025-11-15 09:28:00";"2025-11-15 18:05:00"
47;46;"2025-11-16";"2025-11-16 09:12:00";"2025-11-16 17:45:00"
48;47;"2025-11-16";"2025-11-16 09:55:00";"2025-11-16 18:35:00"
49;48;"2025-11-16";"2025-11-16 08:59:00";"2025-11-16 17:25:00"
50;49;"2025-11-17";"2025-11-17 09:18:00";"2025-11-17 18:10:00"
