"leave_id";"employee_id";"leave_date";"leave_type"
101;1;"2025-11-05";"Sick Leave"
102;2;"2025-11-03";"Casual Leave"
103;3;"2025-11-10";"Sick Leave"
104;4;"2025-11-06";"Casual Leave"
105;5;"2025-11-08";"Sick Leave"
106;6;"2025-11-15";"Paid Leave"
107;7;"2025-11-09";"Casual Leave"
108;8;"2025-11-04";"Sick Leave"
109;9;"2025-11-12";"Paid Leave"
110;10;"2025-11-14";"Casual Leave"
111;11;"2025-11-02";"Sick Leave"
112;12;"2025-11-07";"Paid Leave"
113;13;"2025-11-05";"Casual Leave"
114;14;"2025-11-11";"Paid Leave"
115;15;"2025-11-13";"Sick Leave"
116;16;"2025-11-09";"Paid Leave"
117;17;"2025-11-08";"Casual Leave"
118;18;"2025-11-15";"Sick Leave"
119;19;"2025-11-01";"Paid Leave"
120;20;"2025-11-10";"Casual Leave"
121;21;"2025-11-16";"Sick Leave"
122;22;"2025-11-03";"Paid Leave"
123;23;"2025-11-12";"Casual Leave"
124;24;"2025-11-05";"Sick Leave"
125;25;"2025-11-04";"Casual Leave"
126;26;"2025-11-14";"Paid Leave"
127;27;"2025-11-08";"Sick Leave"
128;28;"2025-11-13";"Casual Leave"
129;29;"2025-11-11";"Paid Leave"
130;30;"2025-11-16";"Sick Leave"
131;31;"2025-11-09";"Casual Leave"
132;32;"2025-11-07";"Paid Leave"
133;33;"2025-11-01";"Sick Leave"
134;34;"2025-11-10";"Casual Leave"
135;35;"2025-11-06";"Paid Leave"
136;36;"2025-11-12";"Sick Leave"
137;37;"2025-11-03";"Casual Leave"
138;38;"2025-11-15";"Paid Leave"
139;39;"2025-11-11";"Sick Leave"
140;40;"2025-11-14";"Casual Leave"
141;41;"2025-11-13";"Paid Leave"
142;42;"2025-11-09";"Sick Leave"
143;43;"2025-11-05";"Casual Leave"
144;44;"2025-11-16";"Paid Leave"
145;45;"2025-11-02";"Sick Leave"
146;46;"2025-11-08";"Casual Leave"
147;47;"2025-11-12";"Paid Leave"
148;48;"2025-11-03";"Sick Leave"
149;49;"2025-11-06";"Paid Leave"
150;50;"2025-11-07";"Casual Leave"
